 ,Area,Mean,Min,Max
1,455,5041.912,3277,6816
2,308,4543.974,3259,6133
3,382,4352.335,3254,5794
4,478,4355.628,3272,5724
5,315,4477.397,3256,5891
6,285,4382.982,3257,5749
7,275,6044.564,3337,8467
8,318,4122.245,3253,5296
9,338,4825.287,3261,6202
10,303,4456.119,3267,6183
11,357,4452.151,3276,5672
12,292,3780.401,3254,5058
13,312,4166.663,3260,5295
14,319,3879.191,3253,4661
15,369,4036.837,3256,5266
16,413,4061.397,3255,5346
17,353,4461.790,3256,5513
18,335,4525.943,3262,5983
19,354,4725.367,3266,6624
20,311,4291.621,3264,5393
21,370,4708.262,3255,6502
22,288,4085.358,3258,5097
23,387,4534.013,3257,5912
24,500,8197.096,3275,14583
25,362,4683.387,3253,6531
26,477,5572.046,3254,10929
27,446,5023.139,3253,6989
28,323,4163.372,3256,5172
29,362,4243.224,3273,5170
30,357,4809.560,3315,6525
31,498,4901.426,3266,7033
32,306,4437.003,3260,5624
33,305,4239.334,3282,5229
34,354,4281.107,3262,5602
35,270,4722.285,3260,7241
36,281,6605.943,3301,10128
37,332,4098.286,3253,5360
38,369,4074.566,3266,5144
39,365,5026.422,3261,6915
40,370,4127.862,3253,5436
41,353,4033.496,3259,5007
42,309,4188.929,3262,5222
43,465,4917.073,3279,6473
44,370,4481.349,3255,5780
45,368,4508.799,3253,5908
46,301,4887.538,3284,6651
47,433,3966.478,3256,4944
48,374,4342.342,3263,5908
49,299,5965.331,3330,8402
50,295,3790.888,3261,4580
51,385,4616.353,3258,6224
52,361,5178.213,3264,7204
53,463,5120.013,3261,6662
54,415,4295.672,3271,5553
55,339,5913.487,3261,8046
56,328,5370.073,3256,7168
57,412,4559.417,3261,5876
58,247,5188.814,3279,7973
59,346,5413.035,3284,6973
60,334,4247.820,3263,5327
61,394,5502.371,3253,7513
62,313,5115.760,3274,6851
63,305,4258.898,3255,6052
64,351,4758.675,3264,6582
65,480,5632.142,3325,8142
66,364,4835.926,3301,6328
67,312,4033.522,3254,5358
68,258,4273.411,3258,5493
69,441,5391.286,3262,6991
70,357,4113.213,3258,5067
71,316,5772.152,3262,7765
72,348,4167.928,3256,5583
73,370,4292.714,3254,5529
74,318,4156.884,3255,5216
75,443,4038.957,3269,5300
76,264,6847.417,3258,9837
77,386,4808.826,3259,6751
78,276,4159.717,3257,5185
79,428,5488.276,3277,7197
80,479,5549.503,3267,7628
81,231,3812.022,3253,4602
82,393,4752.201,3271,6653
83,290,4327.614,3271,5423
84,343,5331.449,3291,7672
85,260,3946.485,3269,4903
86,324,4619.963,3254,6035
87,324,5659.648,3254,8380
88,478,5871.107,3268,7876
89,364,4681.464,3278,6228
90,400,4727.882,3255,6163
91,219,3663.539,3258,4270
92,388,4797.843,3253,6575
93,292,4380.445,3257,5838
94,343,4212.802,3257,5453
95,454,4375.859,3254,5630
96,366,6154.467,3266,9113
97,402,4300.410,3268,5213
98,283,4782.417,3283,5924
99,318,5476.374,3405,7928
100,466,5683.157,3271,8146
101,410,5680.517,3254,7755
102,419,5346.862,3257,7081
103,398,4568.907,3270,6004
104,375,4794.320,3261,6383
105,253,4446.292,3256,6289
106,398,5108.766,3254,7561
107,328,4478.299,3258,6313
108,428,4661.610,3255,6451
109,376,4173.676,3267,5669
110,263,3979.810,3267,4949
111,279,4096.738,3260,4926
112,257,4600.533,3311,5773
113,414,4623.452,3256,5942
114,338,5890.615,3358,8543
115,379,5170.995,3317,6654
116,279,4447.928,3257,5859
117,440,4332.880,3253,6062
118,333,4838.757,3267,6494
119,368,5659.014,3306,7516
120,254,4314.969,3256,5629
121,481,7463.923,3267,11092
122,279,3834.556,3266,4868
123,354,5259.093,3258,7019
124,362,5586.351,3270,7630
125,395,4761.922,3282,6351
126,358,4600.983,3261,5821
127,324,6136.867,3257,9764
128,201,3928.095,3253,5099
129,252,3697.833,3257,4370
130,165,5563.097,3255,9092
131,271,4214.664,3270,5369
132,281,4534.548,3270,6030
133,386,5284.733,3272,7637
134,401,5897.062,3253,9579
135,283,4505.845,3255,6134
136,341,5985.021,3256,8521
137,297,3994.434,3254,4825
138,461,4191.603,3259,5361
139,395,4985.959,3254,6602
140,437,7068.638,3257,10854
141,448,4584.645,3256,6428
142,487,5045.795,3253,6876
143,397,4466.756,3268,5721
144,324,5561.769,3264,8123
145,329,4912.492,3254,7704
146,250,3726.236,3254,4477
147,330,4362.800,3283,5667
148,302,5110.526,3297,7181
149,433,4886.178,3254,6154
150,423,4525.962,3278,6491
151,290,4177.983,3319,5573
152,325,5847.554,3283,8536
153,496,6033.903,3262,8177
154,293,4784.686,3262,6320
155,323,4652.220,3272,6207
156,374,5556.484,3269,8128
157,392,5248.921,3270,7286
158,397,5015.139,3264,6386
159,414,5361.947,3271,7447
160,341,4268.806,3260,5566
161,349,4569.613,3263,6521
162,374,5780.131,3293,8704
163,278,4424.993,3294,5697
164,261,4294.996,3253,5562
165,394,4396.431,3280,5772
166,377,4616.430,3261,6365
167,332,5330.575,3280,6679
168,268,4500.813,3268,5798
169,334,4418.796,3269,5696
170,394,4850.345,3263,6861
171,226,3846.177,3265,4738
172,376,5144.963,3283,7175
173,360,4546.806,3311,5913
174,420,4725.076,3255,6971
175,388,5318.853,3288,7235
176,388,4594.639,3259,5873
177,433,4972.402,3257,6961
178,493,5182.852,3253,7142
179,375,5305.315,3255,7984
180,364,4699.893,3273,6388
